lambda,f1
0.0,0.9354838709677419
0.010344827586206896,0.9914529914529915
0.020689655172413793,1.0
0.03103448275862069,1.0
0.041379310344827586,1.0
0.05172413793103448,1.0
0.06206896551724138,1.0
0.07241379310344828,1.0
0.08275862068965517,1.0
0.09310344827586206,1.0
0.10344827586206896,1.0
0.11379310344827587,1.0
0.12413793103448276,1.0
0.13448275862068965,1.0
0.14482758620689656,1.0
0.15517241379310345,1.0
0.16551724137931034,1.0
0.17586206896551723,1.0
0.18620689655172412,1.0
0.19655172413793104,1.0
0.20689655172413793,1.0
0.21724137931034482,1.0
0.22758620689655173,1.0
0.23793103448275862,1.0
0.2482758620689655,1.0
0.25862068965517243,1.0
0.2689655172413793,0.983050847457627
0.2793103448275862,0.983050847457627
0.2896551724137931,0.983050847457627
0.3,0.983050847457627
